NOMBRE ,TIPO,ENTRE CALLES ,COLONIA,LATITUD,LONGITUD
BARRIOS DE SANTA CATARINA 6,AREA VERDE,LIBERTAD Y DE LOS TOROS,BARRIOS DE SANTA CATARINA,18.968232,-98.166625
CAMINO REAL 2,AREA VERDE,"MESON, ENTRE AVENIDA CAMINO REAL Y PROL. RIO PAPAGAYO",CAMINO REAL,18.999521,-98.193603
LA LUZ,PARQUE,ENTRE 4 ORIENTE Y 12 NORTE,BARRIO DE LA LUZ,19.042159,-98.190991
JARDINES DE XILOTZINGO 1,AREA VERDE,CERRADA DE PAVOREALES Y AVENIDA SAN JOSE XILOTZINGO,JARDINES DE XILOTZINGO,18.984614,-98.20406
JARDINES DE XILOTZINGO 2,AREA VERDE,CERRADA DE PAVOREALES Y AVENIDA SAN JOSE XILOTZINGO,JARDINES DE XILOTZINGO,18.984816,-98.20404
AREA VERDE RESIDENCIAL SAN MIGUEL,AREA VERDE,CALLE AMAPOLA NUMERO 4,SAN MIGUEL,18.971499,-98.208158
VILLA ENCANTADA AVENIDA NACIONAL,JARDIN VECINAL,"CAMINO NACIONAL, ENTRE INDEPENDENCIA Y PRIV. 7 A SUR",VILLA ENCANTADA,19.021565,-98.21863
PLAZUELA DEL TIGRE,PLAZUELA,BOULEVARD HEROES DEL 5 DE MAYO Y 4 ORIENTE,CENTRO HISTORICO,19.04298,-98.192549
PIRAMIDE TEPALCAYOTL,AREA VERDE DE PIRAMIDE,2 NORTE,SAN FRANCISCO TOTIMEHUACAN,18.978366,-98.181073
ENTRADA AL CREE,AREA VERDE,ENTRADA AL CREE ENTRE ESQUINA CON CAMINO AL BATAN Y CREE,LOMAS DE SAN MIGUEL,18.989129,-98.176881
HACIENDA DE LA HERRADURA 3,JARDIN,"HACIENDA DE AMALUCAN  Y AV. DE LA CARBONERA, ENTRE  AV.  VISTA HERMOSA Y AV. DE LA HERRADURA",LA HACIENDA,19.006275,-98.19243
HACIENDA DE LA HERRADURA 2,JARDIN,"HACIENDA DE AMALUCAN  Y AV LA CARBONERA, ENTRE  AV. VISTA HERMOSA Y AV. LA HERRADURA",LA HACIENDA,19.006536,-98.191988
LOS HEROES 2,JARDIN VECINAL,"LATERAL DE LA CALLE 12 SUR, ENTRE 11305 Y 11307",LOS HEROES DE PUEBLA 1RA SECCION FRACCIONAMIENTO,18.978143,-98.222516
LOS HEROES 3,ANDADOR,"PROL. 14 SUR Y 16 SUR, ENTRE 115 A ORIENTE Y 115 C ORIENTE",LOS HEROES DE PUEBLA 2DA SECCION FRACCIONAMIENTO,18.969206,-98.217315
LOS HEROES 10,ANDADOR,"16 SUR Y 18 SUR, ENTRE 115 ORIENTE Y 115 A ORIENTE",LOS HEROES DE PUEBLA 2DA SECCION FRACCIONAMIENTO,18.969815,-98.215332
LOS HEROES 5,PARQUE,"LATERAL DE LA CALLE 12 SUR, ENTRE11306 Y 11310",LOS HEROES DE PUEBLA 1RA SECCION FRACCIONAMIENTO,18.977311,-98.220786
LOS HEROES 6,ANDADOR,ENTRE CALLES 117 ORIENTE Y 123 OTE,LOS HEROES DE PUEBLA 2DA SECCION FRACCIONAMIENTO,18.966901,-98.217205
VALLE DEL SOL 1,JARDIN,"JOSEFA ORTIZ DE DOMINGUEZ Y ARISTOTELES, ENTRE BLVD. DEL SOL Y PIPILA",VALLE DEL SOL,19.012513,-98.184204
DE LA BALVANERA 2,JARDIN,"HACIENDA BALVANERA Y HACIENDA COCOYOC, ENTRE CIRCUITO JUAN PABLO II Y HACIENDA COVADONGA",LA HACIENDA,19.011917,-98.19245
23 SUR,JARDIN,"23 SUR, ENTRE 39 PONIENTE Y 2DA. CERRADA DE LA 23 SUR",GRANJAS ATOYAC,19.038345,-98.22406
CERESO,AREA VERDE,CAMINO AL BATAN Y CERESO,LOMAS DE SAN MIGUEL,18.992932,-98.173436
LA PIEDAD,PARQUE DEPORTIVO,ENTRE 13 PONIENTE Y 25 SUR,LA PIEDAD,19.048996,-98.22
NICOLAS GUILLEN,JARDIN,NICOLAS GUILLEN Y  ARTICULO NO. 31,CONSTITUCION MEXICANA,18.953299,-98.234823
POLIDEPORTIVO SUR,JARDIN,"YUCATAN, ENTRE EFREN GARCIA Y 26 DE MAYO",POPULAR EMILIANO ZAPATA,19.000678,-98.236949
