nom_estab,nombre_act,telefono,latitud,longitud,codigo_act,municipio
CONFECCIONES DE UNIFORMES ESCOLARES INDUSTRIALES HOSPITALARIOS Y ESCOLARES,Confección en serie de uniformes,2381682224,18.47380875,-97.42543381,315223,Tehuacán
DEPOSITO DE CERVEZA Y REFRESCO LA CLINICA,Comercio al por mayor de cerveza,2484917377,19.1993702,-98.45682257,431213,Chiautzingo
DISTRIBUIDORA MEDICA Y HOSPITALARIA QUIROZ,Comercio al por mayor de productos farmacéuticos,2222112971,19.02704682,-98.22140409,433110,Puebla
FARMACIA Y CLINICA VETERINARIA DE LA 9,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas",2229009962,19.04800938,-98.20441859,434112,Puebla
HOSPITALITY PHARMACY,Comercio al por mayor de productos farmacéuticos,2222499294,19.04614081,-98.23005965,433110,Puebla
VENTA DE UNIFORMES HOSPITALARIOS,"Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio",7531737523,18.45791962,-97.39272937,435313,Tehuacán
CASETA DE PERIODICOS EL SOL DE PUEBLA HOSPITAL GENERAL,Comercio al por menor de revistas y periódicos,2223541562,18.98760263,-98.2415604,465313,Puebla
CLINICA DE ESPECIALIDADES BIENESTAR ANIMAL,Comercio al por menor de mascotas,2225774360,18.9851314,-98.1960635,465911,Puebla
CLINICA OFTAMOLOGICA,Comercio al por menor de lentes,2222331264,19.01630905,-98.19938761,464121,Puebla
CLINICA VETERINARIA HIPIATRA,Comercio al por menor de mascotas,2383862023,18.4745933,-97.40762813,465911,Tehuacán
CLINICA VETERINARIA NEALTI CAN,Comercio al por menor de mascotas,2271097241,19.07283712,-98.48403668,465911,San Nicolás de los Ranchos
CLINICA Y FARMACIA VETERINARIA ALFA,Comercio al por menor de mascotas,7971009759,19.84739119,-98.02928857,465911,Chignahuapan
FARMACIA DE CLINICA ROSALES STEVENSON,Farmacias sin minisúper,2313130216,19.81321315,-97.36364289,464111,Teziutlán
FARMACIA HOSPITALARIA,Farmacias con minisúper,2223950523,18.98640237,-98.24244218,464112,Puebla
FARMACIA OPTIMA POLICLINICA,Farmacias sin minisúper,2313130080,19.80680899,-97.36702942,464111,Teziutlán
FARMACIA Y CLINICA VETERINARIA GLEZCOR,Comercio al por menor de mascotas,2331137570,19.76822506,-97.55331479,465911,Zaragoza
HOSPITAL DE CALZADO ZARAGOZA,Comercio al por menor de calzado,2228635593,19.02699417,-98.17959966,463310,Puebla
HOSPITAL DE CELULARES,Comercio al por menor de teléfonos y otros aparatos de comunicación,2222579805,19.06275914,-98.30881999,466212,San Pedro Cholula
HOSPITAL DE CELULARES EL PUENTE,Comercio al por menor de teléfonos y otros aparatos de comunicación,2223878413,19.15038652,-98.10430187,466212,Puebla
HOSPITAL DE IPHONE,Comercio al por menor de teléfonos y otros aparatos de comunicación,2226661192,19.03404395,-98.20801027,466212,Puebla
HOSPITAL DEL CEL,Comercio al por menor de teléfonos y otros aparatos de comunicación,2213706869,19.02871181,-98.14208133,466212,Puebla
LA CLINICA,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",2311165845,19.83937959,-97.46056887,461110,Atempan
OPTICA HOSPITAL DE LENTES,Comercio al por menor de lentes,2334885814,19.85189219,-97.49560316,464121,Tlatlauquitepec
OPTICA HOSPITAL DE LENTES,Comercio al por menor de lentes,2313135265,19.81379917,-97.36005752,464121,Teziutlán
TELCEL HOSPITAL DEL CELULAR,Comercio al por menor de teléfonos y otros aparatos de comunicación,2337596120,19.77109191,-97.55496788,466212,Zaragoza
ANGELOPOLIS CLINICA VETERINARIA,Servicios veterinarios para mascotas prestados por el sector privado,2225983813,18.99948253,-98.27450069,541941,San Andrés Cholula
ASIS HOSPITAL VETERINARIO,Servicios veterinarios para mascotas prestados por el sector privado,2223262740,19.09221569,-98.21431152,541941,Puebla
